id,date,visitor_id,trainer_id,price
45b01826-fd8e-4f3f-9efd-68cd4eb408ba,01-11-2022,71d7e095-2d48-424d-ae44-6aa2bfb66106,46692c43-f43d-43f3-b497-89e29eeea6a0,1900
f5970968-8741-43ee-8df2-ccfde4df6f2a,02-04-2023,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,24622453-6296-451d-9dd1-eb5f85179c24,500
b82f448f-5d38-4220-9d4c-9fccd4baf81a,14-08-2022,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,46692c43-f43d-43f3-b497-89e29eeea6a0,1700
9e045e2c-2d5a-423a-b3c8-81ccfa7f81a1,15-12-2023,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,3cd94eab-c19f-486f-9850-fca4fa162a3c,500
8112db4a-b536-4fe8-947e-2aa7c94229f7,15-06-2022,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,3cd94eab-c19f-486f-9850-fca4fa162a3c,1900
2f49c6d5-d776-420b-870b-c665b3243917,14-07-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,d68274cc-dc2f-43ae-9aac-9273ce02f84d,1700
5e52b4d1-9a0e-4c27-a605-e0f0c80545b5,12-08-2022,71d7e095-2d48-424d-ae44-6aa2bfb66106,bbe240ce-b9c5-471c-a715-4a6405027a4c,1700
64d15107-3f15-4833-b59e-673b971d0021,25-12-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,24622453-6296-451d-9dd1-eb5f85179c24,2300
4c16075e-9236-4e81-a4db-bc59a3c29e7e,23-02-2023,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,46692c43-f43d-43f3-b497-89e29eeea6a0,1300
2a045c2b-5c8e-499c-8568-81ba11fae1b2,25-04-2022,2190ffb3-e835-4545-bd95-9d552172e0d7,d68274cc-dc2f-43ae-9aac-9273ce02f84d,1900
f10176cd-266b-42c8-af8e-18d39042bacb,18-08-2023,3b80a765-9e64-4d96-938e-72a34981bab5,a8f0b49a-3f07-4ec5-aca0-adc0c4363c93,1900
91c0d9b3-f8a9-489c-84a2-65960a46d8ea,14-12-2022,3b80a765-9e64-4d96-938e-72a34981bab5,120e5631-b147-44a9-85e3-5981253155cb,500
4ad984fa-8c3c-48ab-b9fc-17674f448af1,08-07-2022,71d7e095-2d48-424d-ae44-6aa2bfb66106,d68274cc-dc2f-43ae-9aac-9273ce02f84d,900
0afad45d-7b46-4a7c-82fa-2fc89e114990,04-03-2023,3b80a765-9e64-4d96-938e-72a34981bab5,120e5631-b147-44a9-85e3-5981253155cb,700
359f20fa-217f-41c0-bd13-60ba28957af5,22-03-2022,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,3cd94eab-c19f-486f-9850-fca4fa162a3c,500
0e8268f8-54f4-42a6-a9c5-00df8106cb03,20-02-2022,2190ffb3-e835-4545-bd95-9d552172e0d7,d68274cc-dc2f-43ae-9aac-9273ce02f84d,500
77cb75cc-380a-44c7-a163-3c0a2c7a86a7,13-04-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,d68274cc-dc2f-43ae-9aac-9273ce02f84d,2300
ca1e9979-2eec-47d2-a705-a166747cc6cf,18-05-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,24622453-6296-451d-9dd1-eb5f85179c24,1500
